epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,468.541,2.6002,2.54786,1.03934,0.49916,0.34049,0.31945,0.17198,2.34417,1.96549,1.00138,0.0099903,0.0033301,0.0099903,0.0033301,0.0099903,0.0033301,0.0099903,0.0033301
2,888.009,2.34169,1.64533,0.93945,0.51844,0.34311,0.32901,0.18845,2.20903,1.80868,0.97679,0.0197924,0.00659747,0.0197924,0.00659747,0.0197924,0.00659747,0.0197924,0.00659747
3,1289.8,2.31234,1.58002,0.94018,0.59757,0.33291,0.33614,0.19019,2.14949,1.61397,0.9939,0.0293965,0.00979883,0.0293965,0.00979883,0.0293965,0.00979883,0.0293965,0.00979883
4,1686.58,2.26386,1.48901,0.93927,0.59084,0.4109,0.39509,0.22735,2.02481,1.46536,0.96539,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2083.01,2.19955,1.3748,0.92166,0.5195,0.43051,0.41714,0.244,1.94406,1.38962,0.955,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2478.91,2.11743,1.29994,0.9124,0.56474,0.44597,0.44826,0.26699,1.98332,1.2778,0.95251,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2872.23,2.08046,1.25422,0.90306,0.56931,0.45103,0.45591,0.26516,1.90297,1.2299,0.94147,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3264.41,2.05174,1.21864,0.89497,0.58111,0.46767,0.48018,0.28795,1.87732,1.23434,0.9335,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3654.31,2.01384,1.189,0.8916,0.6007,0.48016,0.49056,0.29699,1.87463,1.1744,0.93218,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4047.64,1.99211,1.17262,0.88947,0.60853,0.47967,0.49087,0.29909,1.90675,1.18895,0.93409,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,4444.7,1.96606,1.14141,0.88419,0.59834,0.49496,0.50452,0.31206,1.84783,1.19658,0.91886,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,4840.06,1.95623,1.1435,0.88195,0.57904,0.50388,0.49613,0.3059,1.85002,1.1602,0.92262,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,5234.43,1.93367,1.1229,0.88039,0.59784,0.51288,0.51205,0.31567,1.85333,1.13129,0.92526,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,5628.34,1.91833,1.10625,0.87595,0.59026,0.50129,0.51492,0.32636,1.79339,1.11818,0.91703,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,6022.44,1.91574,1.10409,0.87415,0.6393,0.5264,0.53415,0.33702,1.7833,1.09024,0.91432,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,6415.44,1.90663,1.09224,0.87394,0.62078,0.5267,0.53728,0.34178,1.7633,1.10227,0.90773,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,6805.49,1.89885,1.08102,0.87037,0.6239,0.51617,0.53241,0.34412,1.7478,1.08931,0.90912,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,7195.65,1.87264,1.07073,0.86979,0.61913,0.53202,0.53919,0.33813,1.75137,1.06476,0.90851,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,7587.42,1.88077,1.0626,0.8676,0.62158,0.51122,0.52642,0.33406,1.77103,1.07503,0.91189,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,7978.08,1.87054,1.05826,0.86734,0.64577,0.52714,0.54051,0.34665,1.73171,1.06245,0.90203,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,8368.34,1.85904,1.04965,0.86524,0.65312,0.53669,0.55081,0.3546,1.74103,1.05872,0.90278,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,8759.19,1.84799,1.04227,0.86189,0.6405,0.53193,0.54895,0.35418,1.72661,1.05785,0.90143,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,9149.42,1.8473,1.03655,0.86188,0.65203,0.53393,0.55272,0.36122,1.71611,1.03592,0.89977,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,9543.54,1.84677,1.03263,0.86191,0.64235,0.55027,0.56458,0.37064,1.69065,1.02627,0.89587,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,9940.41,1.82968,1.02456,0.85752,0.65128,0.54711,0.55944,0.36596,1.70284,1.0366,0.89658,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,10336.4,1.83055,1.01993,0.85804,0.60945,0.54422,0.55586,0.36093,1.71607,1.04321,0.89766,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,10733.4,1.82245,1.01812,0.85748,0.63185,0.55612,0.56746,0.37511,1.68812,1.02484,0.89439,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,11130.9,1.81381,1.00878,0.85761,0.64309,0.55859,0.5745,0.37615,1.68349,1.02134,0.89348,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,11526.3,1.8162,1.00561,0.85621,0.64618,0.55696,0.57676,0.37847,1.68506,1.01185,0.89264,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,11923.4,1.81868,1.0034,0.85219,0.65622,0.5573,0.58003,0.38061,1.68462,1.0159,0.89192,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,12319.4,1.79714,0.99419,0.85492,0.65669,0.55957,0.57725,0.38002,1.67347,1.00821,0.89099,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,12711.5,1.79697,0.98977,0.85302,0.64717,0.57463,0.57928,0.3809,1.67145,1.01192,0.89091,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,13101,1.78651,0.98542,0.85154,0.66585,0.55832,0.58004,0.38435,1.68221,1.00775,0.89098,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,13491.1,1.78109,0.9797,0.85204,0.65846,0.55507,0.5773,0.382,1.67813,1.00657,0.89155,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,13887.9,1.77973,0.98365,0.85133,0.64967,0.56857,0.58194,0.38469,1.66696,0.99776,0.88934,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,14283.5,1.78663,0.97568,0.8486,0.65722,0.56308,0.58472,0.38614,1.66267,0.99763,0.88831,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,14680.4,1.77401,0.97146,0.84878,0.64923,0.5666,0.5793,0.38254,1.66251,0.99787,0.88841,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,15078.9,1.77707,0.96868,0.84665,0.66372,0.57279,0.5866,0.38865,1.65676,0.99614,0.88706,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,15476.4,1.76927,0.96707,0.84666,0.65955,0.56513,0.58428,0.38827,1.65595,0.99269,0.88675,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,15873.8,1.77154,0.96403,0.84572,0.65066,0.5791,0.58761,0.38865,1.65091,0.98914,0.88656,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,16270.1,1.75813,0.95589,0.8455,0.64842,0.58057,0.58849,0.38928,1.65347,0.98994,0.88702,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,16666.3,1.75859,0.95894,0.84529,0.66398,0.57416,0.58808,0.39032,1.65047,0.98885,0.88643,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,17054,1.75856,0.95516,0.84358,0.66211,0.57123,0.58991,0.3916,1.64949,0.98826,0.88587,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,17444,1.75809,0.95156,0.84349,0.67186,0.5704,0.5936,0.39545,1.64182,0.98357,0.88414,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,17837.1,1.7414,0.94384,0.8425,0.67666,0.56953,0.59508,0.39643,1.64064,0.98221,0.88396,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,18230,1.74554,0.94169,0.84303,0.67142,0.568,0.59172,0.39482,1.64167,0.98444,0.88399,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,18622.4,1.73829,0.94065,0.84128,0.66383,0.5746,0.59457,0.39758,1.63992,0.98198,0.88391,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,19015.4,1.73037,0.93564,0.84241,0.67117,0.57092,0.59283,0.39725,1.63985,0.97944,0.88392,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,19411,1.73582,0.93418,0.84112,0.67362,0.56964,0.59303,0.39794,1.63885,0.979,0.88402,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,19803.7,1.72794,0.9316,0.84219,0.66565,0.57636,0.59448,0.39923,1.63756,0.97752,0.8836,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,20194.2,1.72045,0.92647,0.84094,0.66098,0.58245,0.59615,0.39973,1.63802,0.97794,0.88344,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,20585.2,1.71795,0.92593,0.83898,0.65709,0.58474,0.59642,0.3995,1.63569,0.97647,0.88317,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,20976.8,1.72161,0.92285,0.83894,0.66661,0.58032,0.5976,0.40063,1.63383,0.97559,0.88282,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,21367.8,1.71598,0.91822,0.83762,0.66679,0.57778,0.5981,0.40077,1.63278,0.97523,0.88275,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,21757.7,1.70918,0.9159,0.83785,0.66218,0.58326,0.5987,0.40127,1.63121,0.97399,0.88255,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,22149.5,1.70521,0.91256,0.8374,0.66752,0.57982,0.60004,0.40167,1.62945,0.97343,0.88244,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,22541.3,1.70153,0.90593,0.83597,0.66956,0.58365,0.6012,0.40183,1.62804,0.97181,0.88214,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,22932.7,1.70552,0.90392,0.83552,0.66546,0.58218,0.60089,0.4015,1.62887,0.97263,0.88203,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,23323.6,1.69759,0.90429,0.8366,0.66668,0.5791,0.59975,0.40126,1.62841,0.97224,0.88196,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,23714.8,1.68693,0.89754,0.83664,0.66914,0.57692,0.59976,0.40162,1.628,0.9716,0.88181,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,24106.7,1.68679,0.89557,0.83513,0.67266,0.57792,0.59997,0.40216,1.62721,0.97122,0.88172,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,24497.2,1.69779,0.89407,0.83323,0.6787,0.57641,0.60015,0.40279,1.62644,0.97051,0.88156,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,24887,1.68914,0.89016,0.83269,0.68031,0.5759,0.60009,0.40309,1.6263,0.97011,0.88149,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
